date,feature_index,NO2
2025-05-14T00:00:00.000Z,0,
2025-05-13T00:00:00.000Z,0,4.869228587267571E-5
2025-05-09T00:00:00.000Z,0,
2025-05-08T00:00:00.000Z,0,
2025-06-18T00:00:00.000Z,0,
2025-06-20T00:00:00.000Z,0,9.437097469344735E-5
2025-06-22T00:00:00.000Z,0,
2025-06-19T00:00:00.000Z,0,
2025-06-24T00:00:00.000Z,0,
2025-06-17T00:00:00.000Z,0,
2025-06-23T00:00:00.000Z,0,6.293630628663647E-5
2025-06-21T00:00:00.000Z,0,
2025-08-25T00:00:00.000Z,0,
2025-08-26T00:00:00.000Z,0,1.1492432219841118E-4
2025-08-20T00:00:00.000Z,0,
2025-08-27T00:00:00.000Z,0,9.084050786138202E-5
2025-08-21T00:00:00.000Z,0,4.9527168206016846E-5
2025-08-24T00:00:00.000Z,0,
2025-08-23T00:00:00.000Z,0,6.277471402427182E-5
2025-08-22T00:00:00.000Z,0,
2025-01-29T00:00:00.000Z,0,
2025-01-24T00:00:00.000Z,0,
2025-01-30T00:00:00.000Z,0,
2025-01-25T00:00:00.000Z,0,
2025-01-26T00:00:00.000Z,0,4.552280734060332E-5
2025-01-27T00:00:00.000Z,0,
2025-01-28T00:00:00.000Z,0,
2025-01-31T00:00:00.000Z,0,
2025-05-03T00:00:00.000Z,0,6.372613279381767E-5
2025-05-07T00:00:00.000Z,0,
2025-04-30T00:00:00.000Z,0,
2025-05-06T00:00:00.000Z,0,1.1121268471470103E-4
2025-05-02T00:00:00.000Z,0,7.090654513116792E-5
2025-05-04T00:00:00.000Z,0,6.216914971446386E-5
2025-05-01T00:00:00.000Z,0,4.798553345608525E-5
2025-05-05T00:00:00.000Z,0,
2025-06-15T00:00:00.000Z,0,
2025-06-14T00:00:00.000Z,0,
2025-06-13T00:00:00.000Z,0,5.859828057249875E-5
2025-06-10T00:00:00.000Z,0,
2025-06-09T00:00:00.000Z,0,
2025-06-16T00:00:00.000Z,0,
2025-06-11T00:00:00.000Z,0,
2025-06-12T00:00:00.000Z,0,8.712296969153815E-5
2025-10-18T00:00:00.000Z,0,
2025-10-19T00:00:00.000Z,0,
2025-10-22T00:00:00.000Z,0,4.981896927347407E-5
